key,value
SDGS.1.TARGETS.4.INDICATORS.1.SOURCE,"- [Personas beneficiarias de prestaciones](https://www.diba.cat/hg2/presentaciomun.asp?prid=1327) (DIBA)
- [Paro registrado.](https://www.idescat.cat/pub/?id=atureg&n=4299) (IDESCAT)

Se toma el dato de junio de las personas beneficiarias de prestaciones y el promedio anual de personas desempleadas registradas."
SDGS.1.TARGETS.4.INDICATORS.2.TITLE,Proporción de personas con discapacidad que reciben una pensión
SDGS.1.TARGETS.4.INDICATORS.2.DESCRIPTION,Proporción de personas con discapacidad que reciben una pensión
SDGS.1.TARGETS.4.INDICATORS.2.UNIT,%
SDGS.1.TARGETS.4.INDICATORS.2.VALUES.1.TITLE,Pensiones de invalidez
SDGS.1.TARGETS.4.INDICATORS.2.VALUES.1.UNIT,pensions
SDGS.1.TARGETS.4.INDICATORS.2.VALUES.2.TITLE,personas reconocidas legalmente como discapacitadas
SDGS.1.TARGETS.4.INDICATORS.2.VALUES.2.UNIT,personas
SDGS.1.TARGETS.4.INDICATORS.2.SOURCE,"- [Pensiones de invalidez](https://www.idescat.cat/pub/?id=ppsr&n=9383) (IDESCAT)

- [Personas reconocidas legalmente como discapacitadas.](https://www.idescat.cat/pub/?id=regdis&n=441) (IDESCAT)

"
SDGS.1.TARGETS.5.DESCRIPTION,"Fomentar la resiliencia de las personas pobres y vulnerables, y reducir su exposición y vulnerabilidad a fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales."
SDGS.1.TARGETS.5.INDICATORS.1.TITLE,Refugios climáticos gratuitos
SDGS.1.TARGETS.5.INDICATORS.1.DESCRIPTION,Refugios climáticos gratuitos
SDGS.1.TARGETS.5.INDICATORS.1.UNIT,refugios/10.000 hab.
SDGS.1.TARGETS.5.INDICATORS.1.VALUES.1.TITLE,Refugios climáticos 
SDGS.1.TARGETS.5.INDICATORS.1.VALUES.1.UNIT,refugios
SDGS.1.TARGETS.5.INDICATORS.1.VALUES.2.TITLE,Población
SDGS.1.TARGETS.5.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.TITLE,Refugios gratuitos y accesibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.VALUES.1.TITLE,Refugios
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.VALUES.1.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.VALUES.2.TITLE,Población
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.VALUES.2.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.TITLE,Refugios gratuitos y no accesibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.VALUES.1.TITLE,Refugios
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.VALUES.1.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.VALUES.2.TITLE,Población
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.VALUES.2.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.TITLE,Refugios gratuitos y NA accesibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.VALUES.1.TITLE,Refugios
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.VALUES.1.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.VALUES.2.TITLE,Población
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.VALUES.2.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.TITLE,Refugios gratuitos y accesibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.VALUES.1.TITLE,Refugios
