key,value
SDGS.1.TARGETS.5.INDICATORS.1.VALUES.2.TITLE,Població
SDGS.1.TARGETS.5.INDICATORS.1.VALUES.2.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.TITLE,Refugis gratuïts i accessibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.VALUES.1.TITLE,Refugis
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.VALUES.1.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.VALUES.2.TITLE,Població
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.0.VALUES.2.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.TITLE,Refugis gratuïts i no accessibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.VALUES.1.TITLE,Refugis
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.VALUES.1.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.VALUES.2.TITLE,Població
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.2.VALUES.2.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.TITLE,Refugis gratuïts i NA accessibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.VALUES.1.TITLE,Refugis
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.VALUES.1.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.VALUES.2.TITLE,Població
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.3.VALUES.2.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.TITLE,Refugis no gratuïts i accessibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.VALUES.1.TITLE,Refugis
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.VALUES.1.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.VALUES.2.TITLE,Població
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.VALUES.2.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.TITLE,Refugis no gratuïts i no accessibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.VALUES.1.TITLE,Refugis
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.VALUES.1.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.VALUES.2.TITLE,Població
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.VALUES.2.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.TITLE,Refugis no gratuïts i NA accessibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.VALUES.1.TITLE,Refugis
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.VALUES.1.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.VALUES.2.TITLE,Població
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.VALUES.2.UNIT,persones
SDGS.1.TARGETS.5.INDICATORS.1.SOURCE,"- [Refugis climàtics](https://analisi.transparenciacatalunya.cat/Seguretat/Refugis-clim-tics-dels-municipis-de-Catalunya/9gu7-iwci/about_data) (Dades Obertes de Catalunya)
- [Dades històriques de població dels municipis de Catalunya](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.2.TITLE,Fam zero
SDGS.2.DESCRIPTION,"Posar fi a la fam, aconseguir la seguretat alimentària i millorar la nutrició i promoure la agricultura sostenible."
SDGS.2.TARGETS.1.DESCRIPTION,"Garantir l'accés a aliments segurs, nutritius i suficients, especialment a aquella població en situació de vulnerabilitat alimentària, fomentant l'agricultura sostenible, de proximitat i resilient al canvi climàtic i als fenòmens meteorològics extrems."
SDGS.2.TARGETS.1.INDICATORS.1.TITLE,% Superfície agrícola ecològica
SDGS.2.TARGETS.1.INDICATORS.1.DESCRIPTION,% Superfície agricola ecològica
SDGS.2.TARGETS.1.INDICATORS.1.UNIT,%
SDGS.2.TARGETS.1.INDICATORS.1.VALUES.1.TITLE,Superfície amb certificat ecològic
SDGS.2.TARGETS.1.INDICATORS.1.VALUES.1.UNIT,ha
SDGS.2.TARGETS.1.INDICATORS.1.VALUES.2.TITLE,Superfície destinada al conreu
SDGS.2.TARGETS.1.INDICATORS.1.VALUES.2.UNIT,ha
SDGS.2.TARGETS.1.INDICATORS.1.SOURCE,- [Dades de parcel·les d’explotacions (DUN) de Catalunya](https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data) (Dades Obertes de Catalunya)
SDGS.2.TARGETS.3.DESCRIPTION,Fomentar la productivitat agrícola i els ingressos de les persones que es dediquen a la producció d’aliments a petita escala.
SDGS.2.TARGETS.3.INDICATORS.1.TITLE,Terres agrícoles per 100 hab.
SDGS.2.TARGETS.3.INDICATORS.1.DESCRIPTION,Superfície total destinada a conreu (aliments i farratges) respecte del nombre d'habitants (hectàrees/100 habitants)
SDGS.2.TARGETS.3.INDICATORS.1.UNIT,ha/100 hab.
SDGS.2.TARGETS.3.INDICATORS.1.VALUES.1.TITLE,Superfície destinada al conreu
SDGS.2.TARGETS.3.INDICATORS.1.VALUES.1.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.1.VALUES.2.TITLE,Total població
SDGS.2.TARGETS.3.INDICATORS.1.VALUES.2.UNIT,persones
SDGS.2.TARGETS.3.INDICATORS.1.SOURCE,"- [Dades de parcel·les d’explotacions (DUN) de Catalunya
](https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data) (Dades Obertes de Catalunya)
- [Població. Per sexe](hhttps://www.idescat.cat/pub/?id=censph&n=538&hist=taules%2Fv2%2Fcensph%2F538%2F565%2Fmun%2Fdata%3F_LAST_%3D3%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B-2c%2Fe%3D01) (IDESCAT)"
SDGS.2.TARGETS.3.INDICATORS.2.TITLE,Atur en agricultura
SDGS.2.TARGETS.3.INDICATORS.2.DESCRIPTION,Atur en agricultura respecte l'atur total
SDGS.2.TARGETS.3.INDICATORS.2.UNIT,%
SDGS.2.TARGETS.3.INDICATORS.2.VALUES.1.TITLE,Mitjana anual d'atur registrat en agricultura
SDGS.2.TARGETS.3.INDICATORS.2.VALUES.1.UNIT,persones
SDGS.2.TARGETS.3.INDICATORS.2.VALUES.2.TITLE,Mitjana anual d'atur total
SDGS.2.TARGETS.3.INDICATORS.2.VALUES.2.UNIT,persones
SDGS.2.TARGETS.3.INDICATORS.2.SOURCE,- [Atur registrat. Per sectors. Mitjanes anuals](https://www.idescat.cat/pub/?id=atureg&n=4302&geo=cat) (IDESCAT)
SDGS.2.TARGETS.3.INDICATORS.3.TITLE,% Hectàrees d'explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.3.DESCRIPTION,% Hectàrees d'explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.3.UNIT,%
SDGS.2.TARGETS.3.INDICATORS.3.VALUES.1.TITLE,Hectàrees d'explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.3.VALUES.1.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.3.VALUES.2.TITLE,Total d'hectàrees d'explotacions
SDGS.2.TARGETS.3.INDICATORS.3.VALUES.2.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.TITLE,% Hectàrees d'explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.VALUES.1.TITLE,Hectàrees d'explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.VALUES.1.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.VALUES.2.TITLE,Total d'hectàrees d'explotacions
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.VALUES.2.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.TITLE,% Explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.VALUES.1.TITLE,Explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.VALUES.1.UNIT,explotacions
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.VALUES.2.TITLE,Total d'explotacions
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.VALUES.2.UNIT,explotacions
SDGS.2.TARGETS.3.INDICATORS.3.SOURCE,"- [Cens agrari. Grandària de les explotacions per superfície total (2020)](https://www.idescat.cat/pub/?id=censag&n=16090) (IDESCAT)
- [Cens agrari. Grandària de les explotacions per superfície total (2009)](https://www.idescat.cat/pub/?id=censag&n=5099) (IDESCAT)
- [Cens agrari. Dimensió de les explotacions, segons la superfície total (1982–1999)](https://www.idescat.cat/pub/?id=censag&n=5099) (IDESCAT)"
SDGS.2.TARGETS.3.INDICATORS.4.TITLE,% d'explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.4.DESCRIPTION,% d'explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.4.UNIT,%
SDGS.2.TARGETS.3.INDICATORS.4.VALUES.1.TITLE,Explotacions de petita escala
SDGS.2.TARGETS.3.INDICATORS.4.VALUES.1.UNIT,explotacions
SDGS.2.TARGETS.3.INDICATORS.4.VALUES.2.TITLE,Total d'explotacions
SDGS.2.TARGETS.3.INDICATORS.4.VALUES.2.UNIT,explotacions
SDGS.2.TARGETS.3.INDICATORS.4.SOURCE,"- [Cens agrari. Grandària de les explotacions per superfície total (2020)](https://www.idescat.cat/pub/?id=censag&n=16090) (IDESCAT)
- [Cens agrari. Grandària de les explotacions per superfície total (2009)](https://www.idescat.cat/pub/?id=censag&n=5099) (IDESCAT)
- [Cens agrari. Dimensió de les explotacions, segons la superfície total (1982–1999)](https://www.idescat.cat/pub/?id=censag&n=5099) (IDESCAT)"
SDGS.2.TARGETS.4.DESCRIPTION,Nom de fita no disponible
SDGS.2.TARGETS.5.DESCRIPTION,"Mantenir la diversitat genètica de les llavors, dels cultius i dels animals de granja i domesticats, així com de les espècies silvestres connexes."
SDGS.3.TITLE,Salut i benestar
SDGS.3.DESCRIPTION,Assegurar una vida sana i promoure el benestar per a tothom en totes les edats.
SDGS.3.TARGETS.3.DESCRIPTION,Nom de fita no disponible
SDGS.3.TARGETS.4.DESCRIPTION,Incrementar programes de promoció d'hàbits saludables per reduir el risc de malalties no transmissibles  i promoure la salut mental i el benestar.
SDGS.3.TARGETS.4.INDICATORS.1.TITLE,Índex de Sobreenvelliment
SDGS.3.TARGETS.4.INDICATORS.1.DESCRIPTION,Relació entre la població de 85 anys i més amb la població de 65 i més.
SDGS.3.TARGETS.4.INDICATORS.1.UNIT,%
SDGS.3.TARGETS.4.INDICATORS.1.VALUES.1.TITLE,Població de 85 anys i més
SDGS.3.TARGETS.4.INDICATORS.1.VALUES.1.UNIT,persones
SDGS.3.TARGETS.4.INDICATORS.1.VALUES.2.TITLE,Població de 65 anys i més
SDGS.3.TARGETS.4.INDICATORS.1.VALUES.2.UNIT,persones
SDGS.3.TARGETS.4.INDICATORS.1.SOURCE,"- [Població. Per sexe i edat quinquennal (2023–)](https://www.idescat.cat/pub/?id=censph&n=539&hist=taules%2Fv2%2Fcensph%2F539%2F5976%2Fmun%2Fdata%3FAGE%3DTOTAL%26_LAST_%3D3%5Ec%3D3%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B2%2C0%3B-3c%2Fe%3D0) (IDESCAT)
- [Població a 1 de gener. Per sexe i edat any a any (2014–2022)](https://www.idescat.cat/pub/?id=pmh&n=1180&hist=taules%2Fv2%2Fpmh%2F1180%2F8078%2Fmun%2Fdata%3FAGE%3DTOTAL%26_LAST_%3D3%5Ec%3D3%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B2%2C0%3B-3c%2Fe%3D0) (IDESCAT)
- [Població a 1 de gener. Per sexe i edat any a any (2000–2013)](https://www.idescat.cat/pub/?id=pmh&n=1180&hist=taules%2Fv2%2Fpmh%2F1180%2F1063%2Fmun%2Fdata%3FMUN%3DTOTAL%5Ec%3D3%2Fr%3D2%2Ft%3D1%2C0%3B0d%2C13%3B-2c%3B-3c%2Fe%3D0) (IDESCAT)"
SDGS.3.TARGETS.4.INDICATORS.2.TITLE,Edat mitjana de defuncions
SDGS.3.TARGETS.4.INDICATORS.2.DESCRIPTION,Edat mitjana de defuncions
SDGS.3.TARGETS.4.INDICATORS.2.UNIT,anys
SDGS.3.TARGETS.4.INDICATORS.2.VALUES.1.TITLE,
SDGS.3.TARGETS.4.INDICATORS.2.VALUES.1.UNIT,anys
SDGS.3.TARGETS.4.INDICATORS.2.VALUES.2.TITLE,
SDGS.3.TARGETS.4.INDICATORS.2.VALUES.2.UNIT,
SDGS.3.TARGETS.4.INDICATORS.2.SOURCE,"- [Defuncions segons sexe i edat](https://www.idescat.cat/pub/?id=def&n=269) (IDESCAT)

Es disposa de poques de dades de municipis. Per a aquells municipis sense dades, s'utilitza el valor de la comarca com a valor indicatiu del municipi."
SDGS.3.TARGETS.5.DESCRIPTION,"Enfortir la prevenció i el tractament de l’abús de substàncies addictives, inclosos l’ús indegut d’estupefaents i el consum nociu d’alcohol."
SDGS.3.TARGETS.6.DESCRIPTION,Reduir a la meitat el nombre de morts i lesions causats per accidents de trànsit.
SDGS.3.TARGETS.6.INDICATORS.1.TITLE,Taxa de mortalitat trànsit
SDGS.3.TARGETS.6.INDICATORS.1.DESCRIPTION,Persones mortes o ferides greus en accidents de trànsit per cada 10.000 habitants.
SDGS.3.TARGETS.6.INDICATORS.1.UNIT,persones/10.000 hab.
SDGS.3.TARGETS.6.INDICATORS.1.VALUES.1.TITLE,Nombre de morts i ferits greus
SDGS.3.TARGETS.6.INDICATORS.1.VALUES.1.UNIT,persones
SDGS.3.TARGETS.6.INDICATORS.1.VALUES.2.TITLE,Població total
SDGS.3.TARGETS.6.INDICATORS.1.VALUES.2.UNIT,persones
SDGS.3.TARGETS.6.INDICATORS.1.SOURCE,"- [Accidents de trànsit amb morts o ferits greus a Catalunya](https://analisi.transparenciacatalunya.cat/Transport/Accidents-de-tr-nsit-amb-morts-o-ferits-greus-a-Ca/rmgc-ncpb/about_data) (Dades Obertes de Catalunya)
- [Dades històriques de població dels municipis de Catalunya](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.3.TARGETS.7.DESCRIPTION,Impulsar mesures per garantir l’accés universal als serveis de salut sexual i reproductiva.
SDGS.3.TARGETS.8.DESCRIPTION,Nom de fita no disponible
SDGS.3.TARGETS.9.DESCRIPTION,"Reduir substancialment el nombre de morts i malalties causades per productes químics perillosos i la pol·lució de l’aire, l’aigua i el sòl."
SDGS.3.TARGETS.d.DESCRIPTION,Nom de fita no disponible
