Grup,Nom,ODS_1,ODS_2_1,ODS_2_2,ODS_2_3,ODS_2_4,Pes_ODS_1,Pes_ODS_2_1,Pes_ODS_2_2,Pes_ODS_2_3,Pes_ODS_2_4,
923,Información básica y estadística.,17.18,17.19,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
924,Participación ciudadana.,16.7,16.5,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
925,Atención a los ciudadanos.,16.7,16.6,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
926,Comunicaciones internas.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
929,"Imprevistos, situaciones transitorias y contingencias de ejecución.",,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
931,Política económica y fiscal.,17.1,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
932,Gestión del sistema tributario.,17.1,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
933,Gestión del patrimonio.,17.1,11.4,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
934,Gestión de la deuda y de la tesorería.,16.6,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
941,Transferencias a Comunidades Autónomas.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
942,Transferencias a Entidades Locales territoriales.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
943,Transferencias a otras Entidades Locales.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
944,Transferencias a la Administración General del Estado.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
011,Deuda Pública.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
